ORGANISM_ID,ORGANISM_NAME,ORGANISM_DESCRIPTION,STRAIN_ID,STRAIN_TYPE,STRAIN_CODE,STRAIN_DESCRIPTION,STRAIN_NOTES,ORGANISM_CLASS,RISK_GROUP,PATHOGEN,BIOLOGIST,IMPORT_PERMIT,OXYGEN_PREF,ATMOSPHERE_PREF,NUTRIENT_PREF,BIOFILM_PREF,STATUS,ACREATEDBY,ACREATEDDATE,AMODIFIEDBY,AMODIFIEDDATE,TAX_ID,BIOL_APPROVAL,SPECIAL_PRECAUTION,STRAIN_TISSUE,SCREEN_PANEL,LAB_RESTRICTION,SEQUENCE,SEQUENCE_LINK,SEQUENCE_MLST,MTA_DOCUMENT,MTA_STATUS,GEN_TYPE
FG_075,Candida glabrata,,AR Bank #0584,Resistant MDR;Clinical Isolate,Ca.gl CDC #0584,,CDC & FDA AR Isolate Bank - Drug Resistant Candida (species other than C. albicans ) Panel - CAN-36,Fungi,RG2,,G.Lowe,,,,,,,ORGDB,29/JUN/20,ORGDB,25/JAN/21,5478,,,,,PC2.4,,,,CDC/UoM,Academic only,
FG_076,Candida glabrata,,AR Bank #0585,Resistant MDR;Clinical Isolate,Ca.gl CDC #0585,,CDC & FDA AR Isolate Bank - Drug Resistant Candida (species other than C. albicans ) Panel - CAN-37,Fungi,RG2,,G.Lowe,,,,,,,ORGDB,29/JUN/20,ORGDB,25/JAN/21,5478,,,,,PC2.4,,,,CDC/UoM,Academic only,
FG_077,Wickerhamomyces anomalus,,AR Bank #0586,Resistant MDR;Clinical Isolate,Wi.an CDC #0586,,CDC & FDA AR Isolate Bank - Drug Resistant Candida (species other than C. albicans ) Panel - CAN-38,Fungi,RG2,,G.Lowe,,,,,,,ORGDB,29/JUN/20,ORGDB,25/JAN/21,4927,,,,,PC2.4,,,,CDC/UoM,Academic only,
FG_078,Candida pararugosa,,AR Bank #0587,Resistant MDR;Clinical Isolate,Ca.pa CDC #0587,,CDC & FDA AR Isolate Bank - Drug Resistant Candida (species other than C. albicans ) Panel - CAN-39,Fungi,RG2,,G.Lowe,,,,,,,ORGDB,29/JUN/20,ORGDB,25/JAN/21,49331,,,,,PC2.4,,,,CDC/UoM,Academic only,
FG_079,Candida keyfr,,AR Bank #0588,Resistant MDR;Clinical Isolate,Ca.ke CDC #0588,,CDC & FDA AR Isolate Bank - Drug Resistant Candida (species other than C. albicans ) Panel - CAN-40,Fungi,RG2,,G.Lowe,,,,,,,ORGDB,29/JUN/20,ORGDB,25/JAN/21,4911,,,,,PC2.4,,,,CDC/UoM,Academic only,
FG_080,Candida guilliermondii,,AR Bank #0590,Resistant MDR;Clinical Isolate,Ca.gu CDC #0590,,CDC & FDA AR Isolate Bank - Drug Resistant Candida (species other than C. albicans ) Panel - CAN-42,Fungi,RG2,,G.Lowe,,,,,,,ORGDB,29/JUN/20,ORGDB,25/JAN/21,4929,,,,,PC2.4,,,,CDC/UoM,Academic only,
FG_081,Malassezia pachydermatis,,ATCC 14522,Type,,"CBS 1879 [238 Shesis, CCRC 21676, IFO 10064, NRRL Y-17165]","Yeast. After 15 days on Emmons? modification of Sabouraud ?s medium at 37?C, colonies are cream-colored, smooth, and soft. Yeast cells are ovoid, single, in pairs or clusters.",Fungi,RG2,Pathogen,A. Elliott,,Aerobic,Aerobic,,,1,,21/DEC/21,ORGDB,21/DEC/21,,,,"Otitis externa in a dog, Sweden",,PC2.1,,https://www.ncbi.nlm.nih.gov/nuccore/LGAV00000000,,,,
FG_082,Aspergillus flavus,,ATCC 16883,Type,,"WB 1957 [CBS 100927, CBS 569.65, IMI 124930, NRRL 1957]",Aspergillus flavus Link var. flavus; Fungi - filamentous - mould,Fungi,RG1,Pathogen,A. Elliott,,Aerobic,Aerobic,24-26 degrees,,1,,21/DEC/21,ORGDB,21/DEC/21,,,,"Cellophane, South Pacific",,PC2.1,,,,,,
FG_083,Aspergillus niger,,ATCC 16888,Type,,"WB 326 [CBS 554.65, IMI 50566, NRRL 326; 2766]",Aspergillus niger van Tieghem; Fungi - filamentous - mould,Fungi,RG2,Pathogen,A. Elliott,,Aerobic,Aerobic,24-26 degrees,,1,,21/DEC/21,ORGDB,21/DEC/21,,,,,,PC2.2,,,,,,
GN_001,Escherichia coli,,ATCC 25922,Control,Ec,FDA strain Seattle 1946,,Gram-Negative,RG1,,A.Elliott,,Anaerobic Facultative,,,,1,ORGDB,10/OCT/17,ORGDB,22/SEP/21,562,,,,Antibiogram GN;CO-ADD Ext GN;CO-ADD Std;COLOP Std;Eurofins Peritonitis;Eurofins Thigh,PC2.1,,,ST73,,,mdf(A)_1
GN_002,Escherichia coli,,ATCC 35218,Control,Ec,Control,,Gram-Negative,RG1,,Y.Gong,,,,,,0,ORGDB,10/OCT/17,ORGDB,17/JAN/19,562,,,,Antibiogram GN,PC2.1,,,,,,
GN_003,Klebsiella quasipneumoniae subsp. similipneumoniae,,"ATCC 700603, NCTC 13368",Resistant MDR,Kp MDR,ESBL,Formerly known as K. pneumoniae K6,Gram-Negative,RG2,,A.Elliott,,Anaerobic Facultative,,,,0,ORGDB,10/OCT/17,ORGDB,27/AUG/21,1463164,,,,Antibiogram GN;CO-ADD Ext GN;CO-ADD Std;COLOP Std,PC2.2,WGS,GenBank: CP014696; CP014697; CP014698,,,,"OXA-2, SHV-18, OKP-B-7, sul1"
GN_004,Klebsiella pneumoniae,,ATCC 13883,Control,Kp,Control,Polymyxin heteroresistance,Gram-Negative,RG2,,S.Ramu,,Anaerobic Facultative,,,,0,ORGDB,10/OCT/17,a.elliott,24/JUN/20,573,,,,Antibiogram GN;CO-ADD Ext GN;COLOP Std,PC2.1,,,,,,"SHV-1, oqxA, oqxB"
