django.utils.autoreload INFO 2023-03-27 10:09:41,392 autoreload 19160 25168 Watching for file changes with StatReloader
django.server INFO 2023-03-27 10:09:43,310 basehttp 19160 2224 "GET / HTTP/1.1" 302 0
django.server INFO 2023-03-27 10:09:43,485 basehttp 19160 2224 "GET /index/ HTTP/1.1" 200 15259
django.server INFO 2023-03-27 10:09:43,528 basehttp 19160 24044 "GET /static/css/custom.css HTTP/1.1" 304 0
django.server INFO 2023-03-27 10:09:43,529 basehttp 19160 2224 "GET /static/css/overideboot.css HTTP/1.1" 304 0
django.server INFO 2023-03-27 10:09:43,534 basehttp 19160 13464 "GET /static/css/main.6a646761.css HTTP/1.1" 304 0
django.server INFO 2023-03-27 10:09:43,535 basehttp 19160 2128 "GET /static/js/jquery-3.6.1.min.js HTTP/1.1" 304 0
django.server INFO 2023-03-27 10:09:43,535 basehttp 19160 22076 "GET /static/js/sorting_table.js HTTP/1.1" 304 0
django.server INFO 2023-03-27 10:09:43,535 basehttp 19160 1984 "GET /static/css/steps/jquery.steps.css HTTP/1.1" 304 0
django.server INFO 2023-03-27 10:09:43,540 basehttp 19160 2224 "GET /static/js/editablerow.js HTTP/1.1" 304 0
django.server INFO 2023-03-27 10:09:43,540 basehttp 19160 24044 "GET /static/js/js_utils/getCookie.js HTTP/1.1" 304 0
django.server INFO 2023-03-27 10:09:43,544 basehttp 19160 13464 "GET /static/js/editableTable.js HTTP/1.1" 304 0
django.server INFO 2023-03-27 10:09:43,546 basehttp 19160 22076 "GET /static/js/js_utils/dataTables.js HTTP/1.1" 304 0
django.server INFO 2023-03-27 10:09:43,550 basehttp 19160 1984 "GET /static/js/js_utils/custom_option.js HTTP/1.1" 304 0
django.server INFO 2023-03-27 10:09:43,550 basehttp 19160 2128 "GET /static/js/create_modal.js HTTP/1.1" 304 0
django.server INFO 2023-03-27 10:09:43,550 basehttp 19160 24044 "GET /static/js/resizable.js HTTP/1.1" 304 0
django.server INFO 2023-03-27 10:09:43,582 basehttp 19160 2128 "GET /static/images/app/avatar.png HTTP/1.1" 304 0
django.server INFO 2023-03-27 10:09:43,582 basehttp 19160 24044 "GET /static/images/brand/CO-ADD_Logo_White_NoBackground_CMYK.png HTTP/1.1" 304 0
django.server INFO 2023-03-27 10:09:43,673 basehttp 19160 24044 "GET /static/images/app/CO-ADD_favicon.png HTTP/1.1" 304 0
django.server INFO 2023-03-27 10:09:50,035 basehttp 19160 24044 "GET /drug_card HTTP/1.1" 200 34894
django.server INFO 2023-03-27 10:09:50,053 basehttp 19160 24044 "GET /static/js/js_utils/saveData.js HTTP/1.1" 304 0
django.server INFO 2023-03-27 10:09:50,053 basehttp 19160 2128 "GET /static/js/resizebar.js HTTP/1.1" 304 0
django.server INFO 2023-03-27 10:09:50,101 basehttp 19160 2128 "GET /static/images/AMD00002.svg HTTP/1.1" 304 0
django.server INFO 2023-03-27 10:09:50,112 basehttp 19160 2128 "GET /static/images/AMD00003.svg HTTP/1.1" 304 0
django.server WARNING 2023-03-27 10:09:50,142 basehttp 19160 2128 "GET /static/images/AMD00004.svg HTTP/1.1" 404 1917
django.server INFO 2023-03-27 10:09:56,796 basehttp 19160 24044 "GET /drug_detail_structure/AMD00003 HTTP/1.1" 200 1874
django.server INFO 2023-03-27 10:09:56,948 basehttp 19160 24044 "GET /static/js/ketcher/index-bundle.min.js HTTP/1.1" 200 11323924
